User,Gesture Type,Number of Training Examples,Training Set Contents,RecoResult GestureType,RecoResult Score,CorrectIncorrect[1/0]
2,left_curly_brace09,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.852,1
2,left_sq_bracket01,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_sq_bracket,0.9284,1
2,star07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",star,0.8718,1
2,delete_mark06,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",delete_mark,0.9042,1
2,triangle03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",triangle,0.8464,1
2,right_sq_bracket02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_sq_bracket,0.8593,1
2,caret04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.971,1
2,question_mark07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",question_mark,0.9094,1
2,rectangle03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",rectangle,0.9455,1
2,check10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",check,0.7809,1
2,x05,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",x,0.8568,1
2,arrow08,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",arrow,0.912,1
2,pigtail02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",pigtail,0.931,1
2,right_curly_brace03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_curly_brace,0.8849,1
2,v02,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",v,0.8582,1
2,circle04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",circle,0.8954,1
2,left_curly_brace10,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_curly_brace,0.8166,1
2,left_sq_bracket03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",left_sq_bracket,0.9025,1
2,star07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",star,0.8496,1
2,delete_mark07,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",delete_mark,0.9135,1
2,triangle04,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",triangle,0.895,1
2,right_sq_bracket03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",right_sq_bracket,0.9239,1
2,caret03,16,"['arrow08', 'caret06', 'check02', 'circle03', 'delete_mark05', 'left_curly_brace02', 'left_sq_bracket04', 'pigtail03', 'question_mark08', 'rectangle10', 'right_curly_brace01', 'right_sq_bracket10', 'star06', 'triangle03', 'v09', 'x07']",caret,0.931,1
