Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,28.8196570110075,27.487110317137,26.3571750665806,25.2320224591003,24.2584067697392,23.3970333214331,22.677393239663,22.1299567912275,21.7230592396443,21.335631780695,21.1006676593218,21.0421757856449,21.0861166472048,21.0962920231332,21.0893851272507,21.1598456813798,21.335328384999,21.6611061001383,22.1125924457708,22.6989970438379,23.4155361303199,24.2502346202558,25.0942390056194,26.2597909871595,27.1530587331089,28.2926037765407,29.5724561416975,30.7752065561477,31.2411891151189,30.9187837260088,28.4468709146149,25.8716895530271,22.3767783285626,22.9410754825608,31.0490437142033,42.4500439485044,44.3825839633702,45.54189495616,46.7182670862783,47.4754062727566,46.985362586629,45.2173984873069,39.5571765849814,30.5032125438492,19.9100930648978,19.9205349696824,19.7857618360597,18.586334878514,18.135754614031,17.7304544975425,17.6357032624511,17.6199960807985,17.1173530474935,18.7457547044526,18.135285754385,18.6987527012294,19.3948969581424,18.9626425082033,18.9695138091452,19.2055572033926,19.6365517628837,20.6929154288242,21.7141654202268,23.0382708657015
caret,19.8864922991044,18.7600080664313,17.5760776159017,16.5133538078929,15.5352544177634,14.6103980733222,13.702487132727,12.841170010961,12.0371085582856,11.3061412478803,10.6375574799799,9.97092182870808,9.3747025562193,8.96100118845118,8.69427217437463,8.52670066052989,8.56073595602057,8.66815727316707,8.78567467442553,9.10234814079985,9.53047486542388,10.0478170371642,10.6510093870156,11.2742817319218,12.0353665943518,12.7948578521875,13.6118568571901,14.458275774113,15.2838950298722,15.7233339274513,15.5499814527944,14.30276591794,14.4162303209864,13.7830655774802,12.9022948934856,12.0912288227872,11.1559857055773,10.470552595484,9.78121095110292,9.32699358146683,8.85457800479369,8.35976445626956,7.92851095052323,7.69987597009396,7.68323995887531,7.75812913964493,8.14887662756262,8.71449800911938,9.06992430686459,9.69356265913045,10.1894997725105,10.8963603922053,11.5699606729687,12.3695441827779,13.2114348609252,14.0563796169037,14.9515797862462,15.8152771829483,16.7544184036453,17.6821890094332,18.6026400639593,19.6573045339041,20.6527661052066,21.476484034992
check,26.4292977585241,25.8013612156236,25.4722344585131,25.2065609041698,25.0734185245641,24.8738800001172,24.7460980073116,24.7826866637437,24.9103364630456,25.0228660010417,25.1474543565724,25.1209758020685,24.6491807412647,24.0510949374193,23.8233169820066,23.293218351347,22.1689628299112,20.5541351334868,20.1518153211292,19.6797974594269,19.0868745656804,18.1771747163209,17.238582570892,16.301533936213,15.3427288960529,14.3901608700454,13.4691096193789,12.6163409215507,11.8382412225204,11.1500986210822,10.3453953304938,9.43465333193239,8.47283564062163,7.62063936639857,7.00937082395068,6.70254501083009,6.76602985778587,7.12108667614644,7.68613665438887,8.40734174414358,9.23325274689297,10.116882714505,11.0384180022648,11.985009912061,12.9728104150565,14.0227593963174,15.1117059367899,16.2265871707612,17.3729202450306,18.5301888609784,19.7156862245129,20.9635077787884,22.2646444474114,23.5907319432924,24.9278288816683,26.1830135544189,27.3560043341381,28.5828246058428,29.797815727419,31.038347075399,32.2034970612342,33.3701028430171,34.6452364579971,35.4324401064489
circle,22.428584819688,22.7934235996148,23.0704208916614,22.9209920872398,22.8521532597947,22.904934242779,22.8525246528814,23.1586751312337,23.7870986880412,23.890953664451,23.8373862591224,23.2309440593676,23.0936373528796,22.9070616706095,22.9538462919705,22.7290637392806,22.5969321698957,22.5887685981345,22.5250075367442,22.3572329020869,22.1524765476521,22.0062266312669,21.9826824455258,21.8235803217938,21.5891288933215,21.6777081350442,21.7434147029186,21.9737273380503,21.9451908914308,22.1653493529028,22.2970514242713,22.8094127323141,22.9903354937655,23.4296628607123,23.4796241174643,24.0036822733366,24.8887033471275,25.2757284306819,23.8725208364375,23.5527732923913,23.4968806636748,23.2200022281259,23.1764419294619,23.1431073480881,23.0900846568675,23.0462728519556,23.1024542795908,22.9039569666526,22.8188134525273,23.0312493821267,23.0733301648029,22.8933794080515,22.396189520541,22.1486555106505,22.0552635438065,22.013357873202,22.4988155819468,23.3330334378082,22.883683698726,22.301559013947,22.3202030966298,22.1768577371563,22.0791295408134,22.2011159821536
delete,19.5440857959669,18.4770574040725,17.2270005393474,16.2442776399724,15.4211495028096,14.79934260446,14.488052312898,14.3251592746828,14.2911959172506,14.3037962060245,14.5748754293906,15.1309908908876,16.1455947325694,17.5172482041172,18.3519311483308,19.4867442582121,20.8971282916465,22.0555508229973,22.8839746769245,23.8443783054218,24.4506690898049,24.7332270349245,23.8586562299079,20.9968650824744,20.1867166984117,20.9682747646795,20.5727592796642,20.2769081851957,20.1492744941643,20.0903356516047,20.0883624131546,20.2293093006931,20.416803956029,20.7110600488709,21.0299725016733,21.5007911160138,22.1195285459764,22.9781386315465,23.5213774904994,23.2158190988602,21.6365035453918,20.1388530280079,20.8746474394027,20.794950985505,20.366037672343,19.4857225761882,18.7888911572636,18.2771126349571,17.8751714321791,17.5715527476682,17.4112791194292,17.4608396488739,17.6113650747889,18.2453983670283,18.9952096412881,19.8549896831004,20.4680708668617,21.1847455455693,22.0444389676277,22.905234978742,23.9458458838511,25.0485749592255,26.6468496501805,27.7833553385329
left curly brace,21.7619623671194,21.3902855301863,20.414170694749,19.8116749041111,19.0053451145223,18.1373961022272,17.1084286978235,16.1673742130395,15.6732115197933,15.2146272849606,15.1796581034679,15.1993340581334,15.2005178494935,15.4715145902658,15.6121436559838,15.1644369140116,14.686519367091,14.2040292214657,13.7045962338273,12.6311496863635,11.3267137475126,10.2399614070146,9.64718933336706,9.55842922480064,10.459923002611,12.1550780379028,12.2616809744235,12.9012771417839,13.8716529227192,15.7876862050191,16.9270253260582,17.277507565046,16.4147910324643,15.3360233770733,15.1573209751912,14.3947203423366,13.8332551401452,13.075940516309,12.2717380916981,12.2819907938881,12.8897040617308,13.8621287319257,13.6887550374561,13.600352700165,13.5834574485024,13.9933866037324,14.6454854485469,15.2147901990555,15.8518330296719,16.4761829196022,16.6722082477686,16.4879129529413,16.1827942072758,16.0057616679126,16.9875634596794,18.5755049090159,19.4030751612175,19.6893361781508,20.2208436695187,20.7220295371516,21.3857190614695,22.2116920176364,22.6409348320202,22.7285957753099
left sq bracket,21.3972628326224,21.0797270905892,20.6678198717239,20.2728058028815,19.9155034119744,19.6047707271122,19.2044698879814,18.8586326089851,18.6137698864962,18.3510371391791,17.815177987526,17.2228702856923,16.3048286550564,15.5157679881387,15.0305198971523,14.6604231184136,14.2803379533674,13.7738586614671,12.9834435739967,12.2031053404382,11.5079676418742,10.9126898554105,10.4191286569539,10.0004159455028,9.75144975894259,9.57944355361309,9.26589282759301,9.02025420246558,8.82676446832913,8.6878143940397,8.61774008268672,8.65942537442285,8.80330712814736,9.07364340249849,9.41820263321293,9.85747182998641,10.3720926612718,10.9495249580079,11.5307248499985,12.1503763977678,12.8246441035827,13.5031641411388,14.154465996968,14.7141574677834,15.2442058089653,15.6179389542907,15.7603573333506,15.8001446828386,16.1351956564574,17.9719552357658,17.1411402904982,16.935392799531,18.0447410679849,19.1512712880792,19.8432626170767,20.2648652949534,20.6307854596371,21.0189262745849,21.4240495349331,21.8585538971761,22.3015089718355,22.7354346992386,23.1458113339614,23.2747536015191
pigtail,40.3695487552474,38.8454653725932,37.2923110137006,35.4551389785006,33.4587538360064,31.8550358562578,30.1272917412957,28.6015876141107,27.3027190877032,25.9958569647157,25.1493192589619,24.1723552204271,23.4981386253443,23.4153310773164,22.8780846262969,22.4948437106762,22.7419799089444,22.5423247634163,22.4785201304618,23.1890133626029,24.7215766641559,26.744920313567,29.1154053093622,32.202207507216,34.6274413884131,37.1249586277869,40.105736252012,42.2944004240821,40.497693088224,38.7107185125116,37.0734492498751,35.464939117455,33.7267137896301,32.4899757200531,31.6912072558671,30.9236393884064,29.939124659215,28.8999644615502,28.3169332885729,28.2396799243513,28.5032856701449,28.6145829061898,28.7793551040765,27.9416985612139,26.6284380650547,24.7088348860078,23.3698241550178,22.5369535459096,22.4794009352115,22.8686412967907,23.9187300834639,25.2489895461558,26.4432048928273,27.6468340122447,28.8003131518741,29.9065680152061,31.0249914333197,32.2310555703217,33.4220183724405,34.6454549271728,35.8419278969996,37.0366695796581,38.2800665818193,39.8495319034235
rectangle,19.0969919657376,18.5811182532378,17.773062759727,17.5632117946133,17.7002717984653,18.0797384834371,18.4142518324898,18.7281012759064,18.6547330708991,18.3277190624249,20.8020327095637,17.9536875770696,16.9833035687128,16.1220938619895,15.4867750299235,15.2511832741202,15.2913852797231,14.9294792969953,14.2922405646593,13.7720008756348,13.4829567950913,13.4587576978569,13.5380243691927,13.7345559151438,14.2608223151879,14.8716777104071,15.531127586543,16.2631242364832,17.1146224242461,17.9091274604812,18.8767597664161,18.5800419987325,20.4826353956814,20.2115619048184,19.4478492445302,18.922984914247,19.494474253943,19.167011034329,18.9124451271645,18.79070364186,19.0232335631643,18.4003368249035,20.6739663785236,17.9179433316089,17.5595278346759,16.9622935151414,16.4599166286746,16.0732059859027,15.770074161003,15.5711229628966,15.5858779349268,14.6809697519312,13.8380844009985,13.858864400819,14.1194231355642,14.6069925551064,15.2045684833416,15.7662617638974,16.424536382344,17.3381104941111,18.9188334219224,19.7367097191438,20.0512968292991,20.243366607772
right curly brace,20.8093251331547,20.5067375695946,20.2278085820598,20.6747228567325,20.4008548625505,19.6928574091491,19.1519275808848,17.7101920606977,16.4454890683513,15.3689999351343,15.0727974411183,14.975764069996,14.8992322904547,14.6004270050766,14.4009041215752,14.1799948830322,13.7811960811763,13.5183039880581,13.3471092896999,13.1874358428205,13.0959851274412,13.1095867418757,12.8687461393021,12.5444312483,12.2925941084131,12.0697211101455,12.2361115247761,12.9198533389174,13.9733186753011,15.3190793852196,17.0248785890021,19.434967344508,21.7300732013648,22.0094700240505,20.4609659157408,16.8479880834894,13.8051105872084,14.5320911678927,14.0179578827952,13.2000172037973,12.5684810673789,12.3477451168586,12.3050436680824,12.2888066835839,12.5254132424172,12.8378569815258,13.316591268564,13.6934766542231,13.9107065824449,14.2573071593209,14.6631651719171,15.0028732007394,15.0886233550602,15.472660608858,15.9512712804444,16.2806773628003,16.8643315746955,17.9347070021582,18.7250168406051,19.4014393409238,20.1484576774634,20.4129032324894,20.6155818741561,20.5042291644762
