User,Gesture Type,RandomIteration[1to100],#ofTrainingExamples[E],Number of Training Examples,Training Set Contents,RecoResult GestureType,RecoResult Score,CorrectIncorrect[1/0]
1,pigtail03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",pigtail,0.7442,1
1,star02,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",star,0.9146,1
1,right_sq_bracket09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.9575,1
1,left_sq_bracket10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.9213,1
1,right_curly_brace07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_curly_brace,0.9144,1
1,delete03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",delete,0.9046,1
1,x08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",x,0.8214,1
1,rectangle03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.9787,1
1,triangle03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",triangle,0.8808,1
1,arrow08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",arrow,0.9017,1
1,zig-zag07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",zig-zag,0.8995,1
1,left_curly_brace09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_curly_brace,0.9418,1
1,circle04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",circle,0.9318,1
1,caret09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",caret,0.9423,1
1,v01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",v,0.9229,1
1,check01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",check,0.9023,1
1,pigtail03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",pigtail,0.8818,1
1,star04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",star,0.6401,1
1,right_sq_bracket01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.9426,1
1,left_sq_bracket04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.9479,1
1,right_curly_brace02,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_curly_brace,0.9008,1
1,delete04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",delete,0.9051,1
1,x10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",x,0.9347,1
1,rectangle06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.9612,1
1,triangle05,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",triangle,0.9476,1
1,arrow07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",arrow,0.9064,1
1,zig-zag08,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",zig-zag,0.9174,1
1,left_curly_brace03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_curly_brace,0.9186,1
1,circle07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",circle,0.9739,1
1,caret04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",caret,0.9876,1
1,v06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",v,0.9271,1
1,check01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.8689,0
1,pigtail05,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",pigtail,0.9279,1
1,star07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",star,0.8379,1
1,right_sq_bracket07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.9531,1
1,left_sq_bracket07,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_sq_bracket,0.9595,1
1,right_curly_brace01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",right_sq_bracket,0.8847,0
1,delete10,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",delete,0.9017,1
1,x09,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",x,0.8548,1
1,rectangle04,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",rectangle,0.9758,1
1,triangle03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",triangle,0.8363,1
1,arrow03,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",arrow,0.9094,1
1,zig-zag06,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",zig-zag,0.8986,1
1,left_curly_brace01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",left_curly_brace,0.8833,1
1,circle05,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",circle,0.9678,1
1,caret01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",caret,0.8753,1
1,v01,1,1,16,"['arrow03', 'caret02', 'check04', 'circle03', 'delete07', 'left_curly_brace02', 'left_sq_bracket09', 'pigtail04', 'rectangle02', 'right_curly_brace10', 'right_sq_bracket04', 'star08', 'triangle05', 'v04', 'x03', 'zig-zag02']",v,0.9087,1
