GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
arrow,1,15.076,8.164,6.692,1569.695,.344,.696,699.000,182.351,.876,2.086,0,370.818
arrow,2,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
arrow,3,24.765,5.340,11.095,6277.677,.246,.495,8.000,166.549,1.141,2.134,0,441.772
arrow,4,11.177,3.809,35.922,3404.002,.272,.481,276.000,83.796,.733,1.905,0,117.469
arrow,5,9.313,3.117,7.373,157.000,.262,.493,38.000,67.070,2.598,10.946,0,46.664
arrow,6,12.066,5.625,14.649,593.039,.319,.616,343.000,126.155,1.793,6.642,0,346.442
arrow,7,21.285,8.262,98.345,4928.177,.347,.644,352.000,110.574,1.418,3.535,0,441.086
arrow,8,17.870,10.239,17.787,339.236,.358,.620,286.000,92.669,.792,2.002,0,549.204
arrow,9,21.921,8.476,1.098,852.000,.312,.655,278.000,119.790,1.076,1.859,0,643.782
arrow,10,15.221,5.545,.300,3686.918,.286,.563,279.000,114.346,.955,2.102,0,191.417
caret,1,12.107,4.617,9.461,2540.397,.231,.272,137.000,57.511,1.918,11.954,0,4.388
caret,2,5.156,2.355,16.056,860.000,.195,.176,1027.000,273.369,.542,.890,0,.000
caret,3,14.559,6.847,17.889,2924.339,.240,.311,74.000,86.726,463.639,3704.410,0,.000
caret,4,7.638,4.641,1.155,2224.863,.233,.347,485.000,125.634,424.479,3387.097,0,.382
caret,5,5.160,2.845,26.421,1475.173,.265,.371,485.000,110.594,.669,1.707,0,.035
caret,6,5.102,1.990,4.111,291.111,.289,.484,488.000,109.180,.704,2.049,0,2.125
caret,7,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
caret,8,10.627,3.134,23.445,2944.000,.265,.304,550.000,101.285,.510,.915,0,2.291
caret,9,8.836,3.028,22.703,2153.404,.284,.275,576.000,124.645,.452,.780,0,.293
caret,10,17.839,6.382,94.138,7897.066,.276,.359,283.000,71.225,.530,.906,0,.738
check,1,21.462,10.585,54.409,923.441,.154,.396,184.000,39.276,2.233,2.269,0,2.896
