GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
arrow,1,7.834,4.230,45.242,925.035,.215,.385,123.000,39.071,.292,.426,0,3.822
arrow,2,11.385,2.927,11.948,706.965,.210,.274,76.000,21.533,.396,.831,0,138.258
arrow,3,13.705,9.374,104.224,6393.964,.297,.537,51.000,24.535,.641,1.362,0,353.658
arrow,4,11.225,5.883,78.519,5982.404,.203,.367,10.000,11.290,.407,.762,0,10.526
arrow,5,13.310,3.821,31.738,1162.035,.217,.326,17.000,22.139,.526,.750,0,260.252
arrow,6,14.832,7.078,25.596,5761.325,.274,.529,22.000,30.463,.616,1.192,0,229.981
arrow,7,5.861,3.341,51.531,1889.874,.167,.250,28.000,12.626,1.356,7.578,0,24.867
arrow,8,6.741,3.073,15.221,1105.139,.228,.356,10.000,16.977,.519,1.166,0,29.064
arrow,9,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
arrow,10,7.703,2.694,5.256,145.201,.257,.529,20.000,13.858,1.397,5.816,0,127.328
caret,1,16.377,2.793,15.986,7815.000,.178,.334,22.000,8.524,3.982,15.614,0,.013
caret,2,5.585,1.658,7.925,521.000,.158,.333,6.000,10.066,1.413,2.413,0,2.693
caret,3,10.950,4.339,29.513,5613.495,.200,.637,25.000,9.359,820.521,6553.955,0,.000
caret,4,3.751,1.735,17.353,2661.672,.148,.382,15.000,8.172,5.436,33.890,0,.022
caret,5,14.720,2.757,7.267,1361.000,.185,.362,4.000,7.921,1.020,1.685,0,.586
caret,6,11.456,4.274,20.762,1217.353,.167,.369,1.000,11.579,800.724,6388.921,0,.993
caret,7,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
caret,8,12.404,3.518,31.998,5298.006,.161,.391,33.000,8.565,1.806,3.178,0,.697
caret,9,14.889,5.334,34.543,1881.000,.236,.600,2.000,6.510,1.052,1.837,0,3.737
caret,10,10.822,4.296,41.839,2853.198,.164,.292,17.000,8.902,.916,1.583,0,.123
check,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
check,2,4.687,2.967,18.582,1050.996,.117,.131,28.000,12.731,3280.770,10483.239,0,.000
check,3,9.049,4.182,25.708,3796.162,.148,.156,36.000,19.231,2340.093,9127.348,0,.306
check,4,4.212,2.320,11.901,2504.677,.127,.127,21.000,7.969,2956.324,10199.557,0,.000
check,5,12.334,6.213,17.959,4824.838,.134,.153,12.000,13.215,2340.151,9127.665,0,.646
check,6,4.311,2.639,6.673,1008.095,.103,.083,38.000,12.265,2340.336,9126.977,0,.000
check,7,6.366,3.387,8.230,1403.893,.117,.102,20.000,11.910,2341.189,9127.307,0,.000
check,8,6.122,2.844,19.725,2563.838,.147,.111,16.000,7.926,2883.867,11873.445,0,.000
check,9,2.818,1.681,3.572,281.819,.113,.093,9.000,7.225,2341.165,9127.023,0,.000
check,10,6.507,3.044,7.011,514.838,.110,.099,10.000,7.075,2340.608,9127.628,0,.000
circle,1,18.110,5.984,60.048,2820.000,.082,.065,58.000,18.103,2.107,13.871,0,638.487
circle,2,12.491,6.402,27.534,5736.000,.112,.095,31.000,11.000,.658,2.000,0,17.792
circle,3,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
circle,4,7.113,3.076,39.649,4301.314,.069,.055,7.000,4.442,.432,.581,0,.000
circle,5,23.823,6.474,77.664,5673.000,.077,.070,70.000,19.258,.596,1.842,0,804.120
circle,6,16.437,7.486,9.065,2010.000,.094,.073,26.000,7.996,.602,.986,0,470.056
circle,7,6.911,3.832,38.334,2448.633,.079,.051,42.000,13.291,.403,.481,0,.000
circle,8,28.351,9.631,86.280,5386.775,.099,.072,35.000,13.177,1.011,4.157,0,1054.519
circle,9,16.984,6.059,40.608,1062.000,.085,.064,51.000,14.368,.699,2.805,0,620.632
circle,10,8.079,2.301,5.067,18.000,.076,.063,3.000,6.708,.463,.609,0,277.878
delete,1,9.515,4.395,35.074,3812.565,.145,.221,10.000,9.553,1219.787,9754.304,0,46.573
delete,2,8.005,5.033,61.936,6979.902,.091,.058,13.000,10.116,.730,1.152,0,.000
delete,3,6.897,3.547,41.762,3312.905,.123,.162,5.000,9.433,.579,.891,0,.000
delete,4,11.887,4.554,2.385,1873.502,.213,.399,7.000,10.078,.605,1.002,0,221.580
delete,5,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
delete,6,7.498,3.954,29.290,4795.724,.125,.163,4.000,10.856,.555,.835,0,4.181
delete,7,10.258,1.379,.681,446.095,.177,.272,58.000,22.623,1143.361,9143.135,0,240.972
delete,8,5.323,3.165,3.619,1537.095,.099,.123,32.000,12.476,.497,.786,0,.000
delete,9,12.624,6.220,9.616,2256.706,.171,.300,29.000,14.459,.552,.770,0,137.135
delete,10,11.796,3.300,7.888,2549.218,.148,.218,5.000,7.185,1154.327,9230.143,0,123.954
left curly brace,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
left curly brace,2,14.499,5.988,32.674,624.399,.181,.312,13.000,12.932,.621,1.490,0,54.251
left curly brace,3,9.912,4.324,31.645,1811.380,.191,.268,24.000,12.047,.761,1.985,0,10.274
left curly brace,4,14.800,7.635,40.090,4360.897,.242,.365,.000,21.122,.708,1.572,0,63.314
left curly brace,5,16.931,8.357,29.117,5777.272,.246,.406,24.000,23.689,.739,1.654,0,71.843
left curly brace,6,18.511,8.426,2.363,158.425,.211,.352,11.000,19.098,.577,1.536,0,113.088
left curly brace,7,16.458,5.977,2.824,3634.199,.208,.355,21.000,14.090,1.288,3.571,0,56.472
left curly brace,8,9.323,4.119,26.397,77.380,.217,.326,26.000,19.238,.630,1.552,0,45.471
left curly brace,9,8.528,2.970,31.883,1884.196,.216,.383,26.000,12.590,.698,1.770,0,16.309
left curly brace,10,13.542,4.289,18.562,3145.298,.237,.366,35.000,25.531,.759,1.971,0,45.173
left sq bracket,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
left sq bracket,2,6.693,4.952,1.577,944.589,.155,.202,22.000,10.331,.941,2.005,0,.784
left sq bracket,3,7.763,4.213,29.366,936.821,.164,.142,18.000,7.668,.908,3.048,0,.000
left sq bracket,4,5.239,2.741,24.947,319.821,.131,.095,6.000,7.003,.911,2.465,0,.000
left sq bracket,5,10.073,5.060,21.298,4264.821,.145,.140,2.000,6.274,.555,.962,0,.000
left sq bracket,6,14.033,7.142,18.113,1722.336,.148,.140,106.000,26.464,1.462,3.378,0,.000
left sq bracket,7,7.601,5.353,.327,27.179,.169,.161,64.000,24.388,.693,1.034,0,.000
left sq bracket,8,13.641,6.431,35.313,7220.821,.131,.124,38.000,12.936,2.728,12.642,0,.000
left sq bracket,9,16.816,6.791,67.320,8976.821,.147,.119,10.000,14.385,.657,1.170,0,.000
left sq bracket,10,6.460,3.980,7.485,95.179,.160,.136,55.000,23.566,1.141,3.097,0,.000
pigtail,1,25.084,9.318,16.993,1189.430,.114,.124,45.000,14.267,38.577,303.326,0,749.487
pigtail,2,12.469,5.064,90.332,8266.991,.114,.095,34.000,7.808,41.019,303.700,0,4.623
pigtail,3,10.996,4.819,33.631,1652.864,.108,.070,14.000,6.915,38.455,303.336,0,19.290
pigtail,4,14.735,5.257,49.558,3778.635,.115,.104,54.000,22.327,38.453,303.331,0,98.488
pigtail,5,21.199,7.575,25.443,1015.991,.113,.090,29.000,10.759,38.483,303.323,0,647.901
pigtail,6,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
pigtail,7,17.155,6.486,1.783,2422.009,.103,.092,6.000,7.930,38.664,303.269,0,351.154
pigtail,8,11.911,7.720,59.349,8103.666,.110,.095,77.000,16.055,38.782,303.214,0,.000
pigtail,9,21.307,6.348,88.588,8153.991,.122,.110,41.000,13.058,38.540,302.971,0,314.120
pigtail,10,6.561,3.551,27.719,2651.014,.102,.085,38.000,12.773,1159.148,8965.291,0,2.157
rectangle,1,8.547,2.710,39.649,3633.000,.113,.124,131.000,47.429,.292,.939,0,.000
rectangle,2,13.312,5.678,38.090,3959.000,.156,.222,195.000,65.321,.379,.976,0,331.400
rectangle,3,13.846,6.646,50.924,6020.336,.141,.235,133.000,52.790,.329,.791,0,.116
rectangle,4,11.041,4.990,25.060,255.610,.117,.120,139.000,52.840,.298,.826,0,48.760
rectangle,5,12.974,5.611,53.391,2006.000,.158,.271,45.000,25.486,.203,.161,0,54.636
rectangle,6,14.969,4.506,36.353,2411.795,.188,.304,116.000,45.002,.362,.927,0,228.202
rectangle,7,15.755,3.659,39.570,4827.000,.152,.231,82.000,30.428,.334,.955,0,493.795
rectangle,8,14.655,2.397,32.574,1362.000,.145,.242,45.000,35.064,.280,.734,0,311.907
rectangle,9,13.496,4.076,27.414,6253.242,.175,.311,57.000,36.430,.363,.954,0,100.035
rectangle,10,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
right curly brace,1,13.219,6.388,35.323,4010.000,.176,.200,44.000,13.390,.229,.352,0,142.742
right curly brace,2,12.835,4.746,9.654,5003.802,.170,.205,55.000,24.348,.287,.335,0,94.936
right curly brace,3,10.012,3.755,21.194,4292.789,.130,.110,2.000,7.978,.261,.368,0,31.885
right curly brace,4,11.182,5.135,26.686,5500.813,.113,.129,78.000,21.729,.298,.442,0,46.488
right curly brace,5,10.658,5.951,7.638,3037.000,.166,.173,17.000,12.076,.338,.530,0,74.384
right curly brace,6,12.393,5.704,69.053,2823.039,.161,.144,100.000,29.571,.335,.718,0,4.122
right curly brace,7,17.103,6.636,99.190,3947.000,.177,.184,106.000,26.276,.349,.405,0,65.570
right curly brace,8,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
right curly brace,9,10.097,7.959,1.447,3108.000,.163,.162,23.000,17.943,.351,.919,0,112.704
right curly brace,10,18.875,9.267,92.317,5103.841,.216,.223,135.000,38.241,.638,1.662,0,57.182
right sq bracket,1,8.734,4.651,18.173,3299.452,.151,.163,30.000,17.781,.690,1.965,0,.000
right sq bracket,2,11.627,6.311,26.736,2949.883,.183,.232,4.000,16.786,.687,1.881,0,.000
right sq bracket,3,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
right sq bracket,4,7.387,2.828,9.580,2112.709,.155,.158,76.000,20.620,.597,1.912,0,.000
right sq bracket,5,3.839,2.304,9.035,1646.117,.122,.091,16.000,6.607,1.359,3.565,0,.000
right sq bracket,6,7.022,3.238,6.299,693.883,.153,.165,29.000,20.623,2.720,16.628,0,.000
right sq bracket,7,4.176,2.031,18.558,1488.113,.146,.137,5.000,8.844,1.075,3.001,0,.000
right sq bracket,8,6.895,2.599,13.307,3173.224,.167,.148,5.000,11.727,.643,1.906,0,.000
