GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
arrow,1,25.601,13.552,239.097,38655.833,.230,.616,249.000,92.072,.365,.331,0,35.873
arrow,2,30.502,18.676,222.800,35956.020,.207,.553,284.000,91.831,.295,.313,0,223.168
arrow,3,31.335,16.791,60.836,9767.860,.171,.498,34.000,80.448,.305,.294,0,4.006
arrow,4,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
arrow,5,26.900,7.505,.408,9370.859,.237,.585,501.000,154.988,.356,.277,0,327.976
arrow,6,19.990,9.535,126.750,15191.440,.184,.498,417.000,184.809,.509,.354,0,350.945
arrow,7,18.085,9.357,98.115,6488.649,.164,.439,536.000,180.190,.449,.336,0,108.404
arrow,8,14.607,5.742,36.182,5118.406,.113,.290,649.000,249.567,.571,.440,0,128.486
arrow,9,32.885,8.100,30.399,4627.368,.247,.620,750.000,221.284,.551,.442,0,553.016
arrow,10,33.420,11.843,5.217,9466.003,.235,.629,84.000,81.888,.431,.417,0,506.781
caret,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
caret,2,28.744,5.799,25.045,8750.489,.110,.389,16.000,136.696,.576,.401,0,64.710
caret,3,6.258,2.390,25.836,4858.220,.042,.074,17.000,52.697,.573,.379,0,.000
caret,4,12.904,5.749,48.765,11586.501,.096,.376,301.000,60.577,.375,.237,0,2.548
caret,5,4.946,2.555,4.372,3622.540,.033,.043,250.000,33.447,.300,.238,0,.000
caret,6,35.704,12.559,207.700,51580.765,.085,.329,250.000,55.630,.461,.326,0,.845
caret,7,15.053,2.649,6.693,2735.980,.095,.384,216.000,53.895,.275,.245,0,11.769
caret,8,11.310,4.167,22.514,2188.691,.076,.265,151.000,42.711,.286,.282,0,2.861
caret,9,12.948,7.382,37.043,1760.291,.100,.370,267.000,79.938,.319,.277,0,.139
caret,10,12.189,7.714,4.340,10389.207,.029,.045,300.000,75.663,.203,.142,0,.000
check,1,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
check,2,28.802,15.895,129.840,27503.458,.102,.403,32.000,35.952,.604,.413,0,10.361
check,3,30.246,15.415,153.584,12878.251,.105,.349,387.000,110.543,.753,.422,0,520.422
check,4,17.491,5.395,.831,3058.548,.100,.352,485.000,131.162,1.098,.757,0,40.927
check,5,11.261,5.496,39.629,2565.629,.091,.325,86.000,42.353,.660,.461,0,16.642
check,6,11.667,5.006,1.193,1819.157,.098,.365,119.000,46.094,.545,.410,0,9.613
check,7,19.313,10.017,49.871,20888.588,.107,.442,86.000,41.297,.624,.560,0,7.509
check,8,15.711,9.742,91.242,18383.781,.040,.091,18.000,30.462,.396,.347,0,.000
check,9,20.574,10.817,121.515,23373.132,.061,.209,14.000,21.766,.342,.252,0,.000
check,10,33.586,15.850,103.266,21918.801,.103,.348,169.000,67.306,.478,.381,0,19.670
circle,1,45.887,20.474,228.151,44674.000,.097,.075,817.000,318.999,.461,.463,0,474.589
circle,2,34.790,10.652,169.028,26416.000,.075,.076,584.000,173.295,.098,.083,0,360.319
circle,3,17.431,6.785,96.477,17012.000,.086,.084,384.000,192.182,.139,.110,0,.000
circle,4,28.946,3.757,100.020,18018.000,.083,.073,550.000,194.388,.129,.097,0,726.592
circle,5,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
circle,6,20.959,6.059,123.354,19903.000,.067,.073,184.000,176.534,.132,.087,0,58.497
circle,7,22.550,5.091,122.799,18882.000,.066,.063,451.000,163.049,.177,.142,0,263.512
circle,8,31.808,6.672,176.451,31542.000,.076,.071,148.000,156.372,.203,.160,0,309.258
circle,9,41.085,6.803,128.832,22610.000,.083,.074,633.000,246.838,.202,.192,0,1272.235
circle,10,21.091,6.999,43.119,4275.000,.078,.059,600.000,243.059,.157,.103,0,403.807
delete,1,22.975,9.034,100.913,15910.598,.106,.379,432.000,122.207,.283,.271,0,31.967
delete,2,15.485,7.907,41.412,2725.742,.144,.438,17.000,34.868,.278,.277,0,166.184
delete,3,10.998,5.083,49.847,3249.365,.123,.383,483.000,85.969,.293,.259,0,1.879
delete,4,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
delete,5,35.723,16.572,138.331,39064.689,.152,.461,166.000,78.691,.659,.556,0,452.910
delete,6,24.406,5.779,18.540,7487.931,.137,.426,117.000,37.795,.425,.374,0,519.313
delete,7,16.523,7.617,42.377,11252.370,.109,.363,16.000,42.214,.376,.286,0,24.887
delete,8,17.309,7.294,73.772,3780.558,.146,.452,17.000,40.875,.343,.312,0,8.978
delete,9,31.942,16.797,181.667,46145.613,.100,.340,151.000,50.059,.555,.594,0,162.752
delete,10,29.192,10.728,124.780,29117.571,.149,.445,201.000,62.966,.660,.511,0,389.219
left curly brace,1,20.398,7.567,83.681,24767.741,.187,.360,1033.000,286.516,.350,.248,0,.253
left curly brace,2,17.342,8.653,59.731,5914.811,.240,.494,266.000,72.467,.248,.174,0,27.082
left curly brace,3,13.171,7.264,30.078,12814.086,.131,.201,348.000,76.905,.200,.217,0,.000
left curly brace,4,18.836,11.163,34.787,8194.818,.219,.470,217.000,68.621,.224,.192,0,66.240
