GestureType,No,ShE,ShV,LE,SzE,BE,BV,TE,TV,VE,VV,SkE,SkOE
arrow,1,25.578,10.777,34.141,14752.592,.130,.254,17.000,25.247,.409,.425,0,145.082
arrow,2,32.929,15.241,53.127,5608.379,.203,.512,6.000,76.778,.465,.416,0,896.674
arrow,3,24.891,10.688,58.800,9983.792,.209,.524,132.000,59.201,.558,1.620,0,229.958
arrow,4,32.325,14.366,69.017,21627.983,.220,.471,104.000,52.696,.395,.371,0,352.662
arrow,5,32.644,14.916,91.413,12498.978,.236,.571,68.000,49.271,.406,.398,0,340.200
arrow,6,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
arrow,7,23.849,11.077,27.734,10298.302,.217,.509,1.000,53.064,.470,.553,0,548.052
arrow,8,20.693,10.691,135.179,23016.945,.200,.520,3.000,45.804,.485,.663,0,242.283
arrow,9,37.140,11.571,84.596,681.644,.168,.300,40.000,54.729,.557,.492,0,418.325
arrow,10,22.848,15.166,68.883,10712.890,.150,.239,60.000,63.378,.376,.332,0,5.416
caret,1,36.409,15.667,30.877,35264.677,.095,.256,171.000,38.114,1.072,1.433,0,1.401
caret,2,32.113,8.622,55.456,25303.906,.091,.258,59.000,16.822,.857,1.275,0,.000
caret,3,27.374,8.124,46.327,23443.705,.096,.287,5.000,18.038,1.486,1.987,0,1.096
caret,4,24.125,6.030,29.586,7109.048,.089,.263,18.000,26.364,3.033,13.262,0,2.850
caret,5,18.481,3.109,8.955,6155.778,.104,.296,1.000,11.201,1.192,1.510,0,40.669
caret,6,12.645,6.061,68.076,15605.197,.063,.141,15.000,21.444,1.019,1.832,0,.000
caret,7,13.293,9.851,16.463,11395.230,.088,.238,31.000,10.525,.863,1.484,0,5.486
caret,8,12.364,5.898,46.138,1937.242,.064,.148,46.000,11.317,.729,.811,0,2.033
caret,9,13.452,7.745,76.737,1195.895,.050,.064,20.000,11.018,.905,1.516,0,.000
caret,10,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,0,.000
check,1,16.927,7.747,64.912,32049.298,.047,.069,60.000,18.731,2402.604,13456.144,0,.000
